3,16,5270,"2021-05-17"
9,8,5158,"2024-04-10"
1,14,8225,"2020-01-31"
2,5,161,"2021-03-19"
5,15,2074,"2020-05-20"
5,9,2577,"2020-10-24"
6,1,9860,"2020-11-25"
9,12,2718,"2023-12-10"
8,17,5371,"2020-05-30"
10,18,8555,"2025-09-01"
7,11,8171,"2020-07-18"
2,10,4813,"2025-07-17"
3,8,9143,"2024-04-05"
8,19,7160,"2024-01-28"
3,16,2346,"2024-06-25"
9,6,4045,"2021-09-30"
7,15,9168,"2021-11-20"
7,6,7518,"2026-02-08"
2,18,4357,"2025-03-04"
7,5,6092,"2020-05-12"
3,18,8818,"2024-07-21"
4,12,8034,"2023-10-24"
7,7,8253,"2024-10-24"
7,7,3861,"2024-07-03"
8,11,7754,"2025-02-20"
5,11,3686,"2023-08-21"
4,18,2355,"2020-08-26"
4,2,6472,"2021-08-29"
7,20,1707,"2022-05-12"
6,5,3509,"2021-01-25"
1,9,1482,"2024-12-05"
2,19,150,"2021-03-09"
2,10,4828,"2021-03-03"
2,18,4842,"2024-05-30"
8,8,3453,"2024-03-08"
8,12,3904,"2023-01-21"
1,6,1903,"2022-12-04"
7,9,2601,"2026-03-03"
1,11,7707,"2021-11-18"
5,7,426,"2020-07-05"
2,1,6308,"2022-04-03"
3,18,9733,"2025-04-14"
6,8,865,"2022-03-25"
4,10,4580,"2020-05-30"
7,11,740,"2025-02-04"
6,13,7016,"2025-08-09"
6,13,7635,"2025-09-11"
4,2,9868,"2020-06-24"
6,18,4819,"2021-08-26"
4,20,4555,"2024-12-26"
9,3,8908,"2023-01-05"
3,4,9351,"2021-12-06"
4,10,9499,"2022-01-19"
1,11,3272,"2025-08-18"
4,18,1212,"2021-10-23"
9,18,1353,"2025-10-07"
2,2,96,"2025-12-08"
5,15,5810,"2020-11-29"
9,9,4888,"2021-04-16"
7,12,6117,"2020-08-23"
1,8,3588,"2022-07-02"
2,8,5230,"2023-09-23"
8,18,9532,"2024-10-09"
3,14,4613,"2025-11-09"
1,12,5929,"2022-12-27"
5,18,8206,"2021-09-19"
9,18,7684,"2025-11-05"
1,17,4804,"2022-01-10"
8,20,7324,"2025-04-08"
5,21,5267,"2026-01-05"
3,9,7712,"2023-11-27"
2,10,1578,"2021-09-06"
4,12,5196,"2023-04-14"
7,8,4628,"2021-08-30"
2,8,6146,"2023-09-09"
10,10,1897,"2021-08-31"
6,10,5366,"2020-12-23"
6,4,683,"2021-09-09"
4,2,9025,"2022-06-15"
4,21,8559,"2021-05-01"
1,8,4655,"2023-05-21"
1,1,5627,"2025-09-01"
10,4,6472,"2023-01-03"
7,21,1127,"2021-01-10"
7,9,271,"2021-06-17"
6,5,7329,"2025-08-19"
8,13,5114,"2024-08-07"
6,12,1421,"2023-10-26"
6,2,3703,"2024-09-16"
3,3,468,"2021-02-22"
10,5,4641,"2020-05-29"
3,18,4021,"2021-04-16"
10,3,2157,"2021-01-06"
7,17,8975,"2023-07-17"
1,20,771,"2025-04-07"
6,14,3973,"2021-03-22"
5,8,1699,"2023-08-08"
5,19,2954,"2021-09-16"
3,21,4217,"2020-02-25"
1,13,537,"2020-03-13"
10,10,4895,"2022-07-03"
1,13,2527,"2024-04-23"
4,16,5437,"2024-08-05"
8,3,6372,"2023-12-22"
1,7,2909,"2021-02-01"
2,20,6401,"2025-08-31"
10,21,6345,"2020-06-06"
9,2,5098,"2022-10-19"
1,18,6766,"2025-10-02"
2,19,9517,"2025-09-13"
2,13,8078,"2025-03-29"
8,13,4755,"2024-12-11"
10,10,8266,"2022-12-29"
10,20,5269,"2023-05-18"
6,20,9613,"2025-02-04"
6,19,6772,"2025-03-20"
8,3,3885,"2020-10-14"
7,7,7409,"2023-07-20"
9,19,7005,"2022-01-30"
9,3,5771,"2025-04-03"
9,15,773,"2020-09-06"
3,8,2369,"2021-08-27"
7,16,7628,"2023-07-07"
6,1,2699,"2023-02-16"
3,17,2751,"2020-01-06"
4,11,3140,"2023-05-30"
4,12,9937,"2025-09-08"
8,18,5690,"2020-06-26"
1,9,2965,"2024-01-20"
7,2,7817,"2023-07-28"
4,10,9213,"2022-11-14"
2,7,8405,"2025-09-22"
2,15,5474,"2021-05-01"
2,2,5356,"2024-12-24"
6,21,1446,"2024-02-06"
2,3,4190,"2025-12-02"
9,10,3396,"2020-12-12"
7,10,906,"2021-04-16"
3,5,3000,"2024-11-06"
2,15,4165,"2020-09-03"
1,12,9701,"2024-03-02"
1,9,464,"2024-04-06"
2,13,6540,"2025-10-11"
3,17,2892,"2025-03-09"
6,20,3882,"2025-03-19"
7,6,5484,"2023-10-10"
10,2,7257,"2020-04-13"
1,17,4951,"2025-09-03"
4,19,9390,"2022-09-12"
10,13,6457,"2022-11-07"
6,11,539,"2025-10-04"
6,12,858,"2024-02-09"
6,5,2021,"2022-11-03"
7,17,3658,"2022-11-16"
1,5,5308,"2023-07-09"
1,18,3474,"2023-01-01"
8,15,1633,"2020-08-23"
7,14,5187,"2020-08-14"
10,11,9755,"2021-11-17"
4,7,2086,"2024-03-10"
5,6,4916,"2021-07-08"
1,5,2700,"2023-07-02"
5,5,3150,"2023-04-01"
1,2,1304,"2020-02-25"
8,1,7889,"2022-07-07"
6,19,6539,"2020-08-22"
10,20,9286,"2022-09-14"
3,3,5050,"2020-05-22"
9,5,2938,"2023-11-26"
5,4,4998,"2025-10-29"
10,9,9023,"2024-06-25"
9,20,1959,"2022-07-14"
10,10,1542,"2021-06-28"
5,2,1392,"2022-01-22"
5,16,5507,"2023-05-25"
4,14,9765,"2021-07-31"
10,19,4686,"2023-10-02"
3,17,7111,"2020-10-27"
6,20,6702,"2023-02-11"
2,1,7101,"2023-05-04"
1,12,2513,"2025-09-11"
8,15,2927,"2021-10-28"
8,13,7838,"2022-05-29"
6,1,3414,"2024-02-15"
3,15,4508,"2026-03-07"
3,21,2606,"2024-06-13"
4,15,1201,"2020-02-07"
8,12,3274,"2020-10-06"
1,12,3050,"2021-12-07"
9,18,1550,"2025-04-19"
1,3,8386,"2023-07-24"
5,10,2510,"2025-11-07"
3,13,2064,"2021-07-01"
1,8,8813,"2020-10-13"
3,17,3178,"2023-02-01"
6,15,3832,"2025-03-03"
3,12,2639,"2026-01-26"
5,14,3772,"2020-08-10"
10,2,3197,"2021-05-02"
6,4,6926,"2025-01-23"
9,12,7931,"2024-05-12"
6,17,6683,"2023-03-14"
9,19,4092,"2020-08-06"
1,10,7452,"2022-08-11"
7,6,6934,"2026-03-15"
5,14,1786,"2020-09-18"
10,6,5481,"2024-05-14"
10,11,6248,"2025-05-22"
9,19,4523,"2025-03-30"
3,9,4752,"2026-01-12"
1,15,4930,"2023-05-26"
4,9,4122,"2025-09-18"
5,18,492,"2025-07-13"
2,12,301,"2024-08-31"
5,11,2939,"2023-01-10"
8,14,8973,"2026-03-20"
10,11,5783,"2025-07-08"
7,19,4982,"2020-05-30"
6,3,9680,"2021-01-03"
4,21,2030,"2025-04-03"
10,1,6139,"2023-07-29"
3,10,1558,"2024-09-01"
