1,"couleur","2024-04-20 20:02:58.868192","4, avenue Nath Gomez 44224 AugerVille",1732
2,"dormir","2024-06-07 05:42:44.280112","5, rue de Didier 25947 Pinto",8466
3,"ombre","2024-11-16 12:57:37.335721","88, boulevard de Meunier 56856 Millet",3656
4,"fonction","2025-03-25 22:45:18.237197","722, boulevard Madeleine Garcia 67868 FaivreVille",6834
5,"réel","2026-02-10 16:26:24.856677","90, avenue Auger 91625 Parent-la-Forêt",9936
6,"besoin","2025-05-06 17:35:14.026781","56, chemin de Ledoux 06236 Michaud",4289
7,"plaindre","2024-07-09 02:18:08.239114","82, avenue Hamel 49237 Mathieu",7802
8,"point","2025-03-01 07:11:41.512508","92, rue de Klein 38578 Perrier-les-Bains",7823
9,"derrière","2025-10-05 06:39:23.210675","880, rue Buisson 62723 Marion",3115
10,"militaire","2025-05-06 13:55:30.883064","3, chemin de Goncalves 59426 Saint Frédéric-la-Forêt",948
11,"ombre","2025-08-25 03:06:38.520940","68, boulevard Véronique Picard 15479 BarbeVille",6514
12,"rapport","2024-10-15 20:21:02.519435","287, avenue Le Roux 97364 Blondel",6560
13,"intérêt","2024-11-27 01:25:13.458331","36, avenue Nathalie Leduc 51212 ChauvetVille",8335
14,"danger","2024-06-19 17:20:24.043021","47, boulevard de Martel 54311 Gros",8783
15,"genou","2024-04-05 15:30:08.366438","463, rue Patrick Ollivier 28463 Sainte Nathalie",4080
16,"amour","2024-06-01 06:54:32.422246","42, chemin Leleu 62921 Boutin-les-Bains",2796
17,"autrement","2025-09-11 14:53:30.398312","4, boulevard de Royer 10722 LévêqueBourg",1784
18,"ombre","2025-10-03 10:52:20.108016","5, rue de Bertrand 77573 Guillet-sur-Mer",7125
19,"pendre","2024-12-07 22:43:32.834224","1, rue Sophie Simon 81416 Charpentier",3809
20,"sang","2025-11-30 02:00:39.423421","91, chemin Benjamin Vaillant 83789 Sainte Charles",9702
21,"ami","2026-02-11 14:41:28.796953","7, boulevard de Torres 79756 Prévost-sur-Hardy",3388
22,"tuer","2025-05-20 20:11:07.516468","15, avenue Bazin 81156 Fernandez-la-Forêt",2512
23,"nord","2024-10-22 11:52:40.051537","59, rue Aurore Laroche 57987 Sainte AurélieBourg",6586
24,"pas","2025-12-04 00:21:16.080770","51, rue Clémence Pages 97269 Sainte Claire",5174
25,"être","2024-11-05 09:27:26.978996","7, rue Foucher 30957 Joubert",6935
26,"enfoncer","2025-10-08 23:04:41.440688","rue Marcelle Becker 50502 Buissondan",5727
27,"vol","2024-11-25 11:37:36.659756","91, avenue Patrick Blin 94367 Jourdan-sur-Jacquot",2049
28,"décider","2024-07-01 19:51:41.678629","83, avenue Faivre 17466 Chevallier",7346
29,"arriver","2024-10-25 09:36:22.822157","62, avenue de Daniel 91179 Rey",4456
30,"air","2025-04-27 21:21:51.811997","avenue de Imbert 14311 Renardnec",8158
31,"chaleur","2024-04-23 05:50:39.429728","2, boulevard de Joly 28769 Lecoq",1205
32,"volonté","2025-04-13 10:54:57.249591","rue Océane Reynaud 69793 Descamps",2982
33,"consulter","2024-12-20 18:49:11.823469","63, boulevard Denis 26628 Saint Marthe-les-Bains",9638
34,"perdre","2024-12-26 22:23:59.317125","9, avenue de Leconte 27255 Saint Franck",676
35,"pourquoi","2025-12-02 18:05:49.409219","chemin Charrier 95649 Menard-sur-Mer",7343
36,"quant à","2024-09-08 18:13:06.344404","3, boulevard Monique Gosselin 73323 Schneider",788
37,"condamner","2024-12-13 14:09:18.585086","62, avenue Claire Lefebvre 42815 Roux-la-Forêt",9723
38,"poète","2026-01-01 01:11:37.888217","24, rue de Delorme 18476 Rivière",8102
39,"tranquille","2025-02-11 00:39:02.215536","45, boulevard Martinez 46953 Ribeiro",8989
40,"marche","2024-04-29 01:38:11.309750","47, chemin Susan Bousquet 23309 Launaydan",5933
41,"recueillir","2026-02-22 15:19:35.063967","12, rue Astrid Vasseur 01532 Bodin",3944
42,"début","2025-10-23 23:19:49.326010","390, rue Roy 34849 Pereiradan",872
43,"tempête","2024-07-09 02:42:34.396446","rue Isabelle Benoit 46171 Sainte Jeanne",5728
44,"apprendre","2025-09-26 01:46:03.344630","5, chemin Michel Marie 69256 Salmondan",8434
45,"jamais","2024-10-12 19:17:39.763912","56, chemin de Ledoux 06236 Michaud",6608
46,"espèce","2026-01-07 19:26:37.902830","7, avenue Traore 27757 Rolland",255
47,"bientôt","2026-01-15 20:20:28.651694","980, avenue de Rocher 83662 Bourgeois",7978
48,"fou","2024-05-11 05:04:18.291431","20, chemin de Guillot 54612 Saint Sabine",6616
49,"un","2026-01-30 08:55:27.564085","boulevard de Lambert 31976 Saint Gérard",6098
50,"agir","2025-02-05 03:24:45.849142","avenue Michèle Techer 64234 Humbert",2696
